filename,width,height,class,xmin,ymin,xmax,ymax
000000000036.jpg,481,640,person,167.58,162.89,478.19,628.08
000000000049.jpg,381,500,person,203.39,260.43,269.08,333.47
000000000049.jpg,381,500,person,118.43,261.32,175.34,324.25
000000000049.jpg,381,500,person,119.34,334.21,131.28,367.78
000000000049.jpg,381,500,person,284.34,333.4,295.22,360.83
000000000049.jpg,381,500,person,191,334.37,198.16,357.78
000000000049.jpg,381,500,person,346.76,333.4,361.56,342.62
000000000061.jpg,640,488,person,261.2,205.92,309.28,263.16
000000000061.jpg,640,488,person,393.39,210.34,425.92,250.08
000000000061.jpg,640,488,person,261.54,196.57,295.75,250.75
000000000074.jpg,640,426,person,295.55,93.96,313.97,152.79
000000000074.jpg,640,426,person,326.94,97.05,340.49,122.98
000000000074.jpg,640,426,person,356.62,95.47,372.33,147.55
000000000074.jpg,640,426,person,462.08,105.09,493.74,146.99
000000000074.jpg,640,426,person,277.11,103.84,292.44,150.72
000000000074.jpg,640,426,person,282.65,103.41,294.34,127.66
000000000077.jpg,500,375,person,216.04,56.31,319.49,175.24
000000000077.jpg,500,375,person,320.73,53.73,415.36,151.01
000000000077.jpg,500,375,person,24.83,167.53,121.83,332.94
000000000077.jpg,500,375,person,286.32,101.29,311.02,143.01
000000000077.jpg,500,375,person,266.35,58.18,289.28,140.7
000000000086.jpg,512,640,person,152.11,183.1,281.26,559.07
000000000109.jpg,640,416,person,512.89,271.42,534.13,304.15
000000000109.jpg,640,416,person,585.88,268.35,604.07,291.17
000000000109.jpg,640,416,person,548.02,249.59,552.57,257.7
000000000109.jpg,640,416,person,74.56,197.85,80.85,213.13
000000000109.jpg,640,416,person,604.26,271.45,613.45,282.75
000000000110.jpg,640,480,person,208.18,0,640,474.61
000000000110.jpg,640,480,person,1.08,128.36,252.4,409.89
000000000110.jpg,640,480,person,248.09,1.08,376.45,138.07
000000000110.jpg,640,480,person,196.95,0,265,94.32
000000000110.jpg,640,480,person,141.2,2.18,222.09,88
000000000110.jpg,640,480,person,0,0,130.28,174.43
000000000110.jpg,640,480,person,131.15,0,162.22,55.5
000000000110.jpg,640,480,person,406.77,1.22,441.49,85.33
000000000110.jpg,640,480,cup,184.03,79.35,203.24,97.58
000000000110.jpg,640,480,person,263.06,0.74,277.25,29.4
000000000110.jpg,640,480,person,335.72,0,415.22,93.43
000000000110.jpg,640,480,cup,163.16,77.92,181.86,101.3
000000000110.jpg,640,480,cup,209.78,80.59,229.76,96.33
000000000110.jpg,640,480,cup,228.12,75.91,244.65,99.29
000000000113.jpg,416,640,person,4.33,31.42,156.03,486.5
000000000113.jpg,416,640,cup,70.27,458.25,121.87,519.38
000000000113.jpg,416,640,cup,347.22,159.86,368.9,178.62
000000000113.jpg,416,640,person,341.39,100.49,416,428.74
000000000113.jpg,416,640,person,148.13,44.58,343.73,431.46
000000000113.jpg,416,640,cup,282.56,95.35,308.07,122.12
000000000113.jpg,416,640,cup,346.5,67.93,369.94,89.98
000000000113.jpg,416,640,cup,343.43,98.09,367.53,123.09
000000000113.jpg,416,640,cup,379.91,96.72,397.55,120.02
000000000113.jpg,416,640,cup,195.73,140.4,215.79,162.04
000000000113.jpg,416,640,cup,176.16,137.14,199.73,161.95
000000000113.jpg,416,640,cup,174.85,106.92,194.46,132.55
000000000113.jpg,416,640,cup,140.57,138.28,159.33,160.55
000000000127.jpg,640,481,cup,381.97,221.21,567.17,345.96
000000000127.jpg,640,481,person,444.17,8.67,466.92,44.42
000000000136.jpg,500,374,person,0.84,114.71,54.38,372.41
000000000136.jpg,500,374,person,0,61.35,68.92,374
000000000149.jpg,640,428,person,388.03,324.65,397.64,337.98
000000000149.jpg,640,428,person,339.42,316.81,346.3,329.89
000000000149.jpg,640,428,person,333.22,315.73,339.52,329.68
